id_bien;com_code;Code postal;Nombre pieces principales;Surface Carrez du 1er lot;Type local
22602;75103;75003;4;105.4;Appartement
22603;75103;75003;1;19.99;Appartement
22604;75105;75005;1;9.17;Appartement
22605;75105;75005;5;114.69;Appartement
22606;75106;75006;2;64.37;Appartement
22607;75106;75006;3;78.27;Appartement
22608;75106;75006;4;75.14;Appartement
22609;75106;75006;1;29.61;Appartement
22610;75106;75006;3;92.11;Appartement
22611;75107;75007;5;123.26;Appartement
22612;75107;75007;2;39.11;Appartement
22613;75107;75007;2;27.09;Appartement
22614;75109;75009;1;44.25;Appartement
22615;75109;75009;1;13.14;Appartement
22616;75109;75009;2;40.95;Appartement
22617;75110;75010;4;76.06;Appartement
22618;75110;75010;3;50.3;Appartement
22619;75110;75010;3;65.6;Appartement
22620;75110;75010;1;35.24;Appartement
22621;75111;75011;2;39.47;Appartement
22622;75111;75011;2;49.78;Appartement
22623;75111;75011;1;21.07;Appartement
22624;75111;75011;1;20.18;Appartement
22625;75111;75011;2;45.9;Appartement
22626;75112;75012;2;33.55;Appartement
